source_url,status_code,location,redirect_chain,final_url,final_status,canonical_url,robots_meta,x_robots_tag,sitemap_inclusion,internal_link_count,outgoing_internal_link_count,indexability,content_type,issue_classification,recommended_action
https://sashabd.com/terms/,200,,,https://sashabd.com:4173/terms/,200,https://sashabd.com/terms/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,2,45,indexable,text/html; charset=utf-8,,None
https://sashabd.com/contact/,200,,,https://sashabd.com:4173/contact/,200,https://sashabd.com/contact/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,3048,45,indexable,text/html; charset=utf-8,,None
https://sashabd.com/about/message-from-founder/,200,,,https://sashabd.com:4173/about/message-from-founder/,200,https://sashabd.com/about/message-from-founder/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,173,44,indexable,text/html; charset=utf-8,,None
https://sashabd.com/projects/,200,,,https://sashabd.com:4173/projects/,200,https://sashabd.com/projects/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,464,52,indexable,text/html; charset=utf-8,,None
https://sashabd.com/blog/,200,,,https://sashabd.com:4173/blog/,200,https://sashabd.com/blog/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,212,61,indexable,text/html; charset=utf-8,,None
https://sashabd.com/return-policy/,200,,,https://sashabd.com:4173/return-policy/,200,https://sashabd.com/return-policy/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,173,45,indexable,text/html; charset=utf-8,,None
https://sashabd.com/about/,200,,,https://sashabd.com:4173/about/,200,https://sashabd.com/about/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,693,44,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p1-25-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p1-25-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p1-25-indoor-led-display/,"index, follow",,true,20,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p1-53-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p1-53-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p1-53-indoor-led-display/,"index, follow",,true,30,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p1-667-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p1-667-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p1-667-indoor-led-display/,"index, follow",,true,36,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p1-86-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p1-86-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p1-86-indoor-led-display/,"index, follow",,true,28,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p2-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p2-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p2-indoor-led-display/,"index, follow",,true,38,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p2-5-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p2-5-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p2-5-indoor-led-display/,"index, follow",,true,33,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p3-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p3-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p3-indoor-led-display/,"index, follow",,true,23,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p3-076-indoor-led-display/,200,,,https://sashabd.com:4173/led-display/indoor-led/p3-076-indoor-led-display/,200,https://sashabd.com/led-display/indoor-led/p3-076-indoor-led-display/,"index, follow",,true,23,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/indoor-led/p4-indoor-led-display-module/,200,,,https://sashabd.com:4173/led-display/indoor-led/p4-indoor-led-display-module/,200,https://sashabd.com/led-display/indoor-led/p4-indoor-led-display-module/,"index, follow",,true,23,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p2-5-outdoor-led-display-module/,200,,,https://sashabd.com:4173/led-display/outdoor/p2-5-outdoor-led-display-module/,200,https://sashabd.com/led-display/outdoor/p2-5-outdoor-led-display-module/,"index, follow",,true,29,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p3-outdoor-led-display-module/,200,,,https://sashabd.com:4173/led-display/outdoor/p3-outdoor-led-display-module/,200,https://sashabd.com/led-display/outdoor/p3-outdoor-led-display-module/,"index, follow",,true,39,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p4-outdoor-led-display/,200,,,https://sashabd.com:4173/led-display/outdoor/p4-outdoor-led-display/,200,https://sashabd.com/led-display/outdoor/p4-outdoor-led-display/,"index, follow",,true,32,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p3-076-outdoor-led-display-module/,200,,,https://sashabd.com:4173/led-display/outdoor/p3-076-outdoor-led-display-module/,200,https://sashabd.com/led-display/outdoor/p3-076-outdoor-led-display-module/,"index, follow",,true,30,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p5-outdoor-led-display/,200,,,https://sashabd.com:4173/led-display/outdoor/p5-outdoor-led-display/,200,https://sashabd.com/led-display/outdoor/p5-outdoor-led-display/,"index, follow",,true,32,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p6-outdoor-led-display/,200,,,https://sashabd.com:4173/led-display/outdoor/p6-outdoor-led-display/,200,https://sashabd.com/led-display/outdoor/p6-outdoor-led-display/,"index, follow",,true,42,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/premium-quality-outdoor-led-display/,200,,,https://sashabd.com:4173/led-display/outdoor/premium-quality-outdoor-led-display/,200,https://sashabd.com/led-display/outdoor/premium-quality-outdoor-led-display/,"index, follow",,true,29,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p8-outdoor-led-display-module/,200,,,https://sashabd.com:4173/led-display/outdoor/p8-outdoor-led-display-module/,200,https://sashabd.com/led-display/outdoor/p8-outdoor-led-display-module/,"index, follow",,true,20,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p6-67-outdoor-led-display-module-320x160mm/,200,,,https://sashabd.com:4173/led-display/outdoor/p6-67-outdoor-led-display-module-320x160mm/,200,https://sashabd.com/led-display/outdoor/p6-67-outdoor-led-display-module-320x160mm/,"index, follow",,true,42,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/rental-display/p2-6-rental-led-display/,200,,,https://sashabd.com:4173/led-display/rental-display/p2-6-rental-led-display/,200,https://sashabd.com/led-display/rental-display/p2-6-rental-led-display/,"index, follow",,true,33,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/outdoor/p10-outdoor-led-display-module/,200,,,https://sashabd.com:4173/led-display/outdoor/p10-outdoor-led-display-module/,200,https://sashabd.com/led-display/outdoor/p10-outdoor-led-display-module/,"index, follow",,true,18,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/rental-display/p4-81-rental-led-display/,200,,,https://sashabd.com:4173/led-display/rental-display/p4-81-rental-led-display/,200,https://sashabd.com/led-display/rental-display/p4-81-rental-led-display/,"index, follow",,true,30,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/rental-display/p3-91-rental-led-display/,200,,,https://sashabd.com:4173/led-display/rental-display/p3-91-rental-led-display/,200,https://sashabd.com/led-display/rental-display/p3-91-rental-led-display/,"index, follow",,true,33,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/receiving-card/r-712/,200,,,https://sashabd.com:4173/led-display/accessories/receiving-card/r-712/,200,https://sashabd.com/led-display/accessories/receiving-card/r-712/,"index, follow",,true,30,71,indexable,text/html; charset=utf-8,,None
